model,metric,train,test
DNN ESM2 3B,mPrecision,0.9801859116188866,0.9209649469469716
DNN ESM2 3B,mRecall,0.9873869025946788,0.8863249784707508
DNN ESM2 3B,mF1,0.9835153649254668,0.8993916356114343
DNN ESM2 3B,mPrecision level 1,0.9954901587269678,0.9842239776654332
DNN ESM2 3B,mRecall level 1,0.9966871789969458,0.9784144398426784
DNN ESM2 3B,mF1 level 1,0.9960861132569352,0.9813077466373094
DNN ESM2 3B,mPrecision level 2,0.9903582638985104,0.960007529255272
DNN ESM2 3B,mRecall level 2,0.9942749394626398,0.9409391701630098
DNN ESM2 3B,mF1 level 2,0.9922825805014802,0.949899229790492
DNN ESM2 3B,mPrecision level 3,0.9858791599870652,0.952762709571913
DNN ESM2 3B,mRecall level 3,0.9906263439102558,0.9203771729144024
DNN ESM2 3B,mF1 level 3,0.9881759801096168,0.9348219950029448
DNN ESM2 3B,mPrecision level 4,0.9792905725957004,0.9165845735418012
DNN ESM2 3B,mRecall level 4,0.9868412972726472,0.88116343035844
DNN ESM2 3B,mF1 level 4,0.9827685141602948,0.8942587580416274
DNN ProtBERT,mPrecision,0.9722174476745892,0.921363419832496
DNN ProtBERT,mRecall,0.9731673644253314,0.8731144409279941
DNN ProtBERT,mF1,0.9721996674348048,0.8920665060834831
DNN ProtBERT,mPrecision level 1,0.9915911432726372,0.9804044703171112
DNN ProtBERT,mRecall level 1,0.9897366317577048,0.9676160870265128
DNN ProtBERT,mF1 level 1,0.99066249398909,0.9739618531611496
DNN ProtBERT,mPrecision level 2,0.9837685472990678,0.9568492626670424
DNN ProtBERT,mRecall level 2,0.9820558516424058,0.9219997191496732
DNN ProtBERT,mF1 level 2,0.9828656070337296,0.9383770860881102
DNN ProtBERT,mPrecision level 3,0.9801167486258988,0.9503350368264296
DNN ProtBERT,mRecall level 3,0.9764024008391956,0.8985573901875752
DNN ProtBERT,mF1 level 3,0.9781048902620992,0.9218853529561152
DNN ProtBERT,mPrecision level 4,0.9710607973859964,0.9173710839919352
DNN ProtBERT,mRecall level 4,0.9725387698945092,0.8689314713409113
DNN ProtBERT,mF1 level 4,0.9712600181123484,0.8875905122411527
DNN ESM1b,mPrecision,0.9853145390233754,0.91773513936127
DNN ESM1b,mRecall,0.9927790435449042,0.8802042796503277
DNN ESM1b,mF1,0.988790429295921,0.8942497478292084
DNN ESM1b,mPrecision level 1,0.9972306809092244,0.9852166224785444
DNN ESM1b,mRecall level 1,0.9978859556977884,0.9778336312342456
DNN ESM1b,mF1 level 1,0.997557901429264,0.9815082684656116
DNN ESM1b,mPrecision level 2,0.993664795120228,0.9606606221505812
DNN ESM1b,mRecall level 2,0.9963591729514332,0.934180803608848
DNN ESM1b,mF1 level 2,0.9949822273137028,0.9464935684412524
DNN ESM1b,mPrecision level 3,0.990360583027768,0.9490498678008454
DNN ESM1b,mRecall level 3,0.9938822064872384,0.907261431501744
DNN ESM1b,mF1 level 3,0.9920430573407296,0.9257923548516308
DNN ESM1b,mPrecision level 4,0.9845465403120734,0.9132662667126332
DNN ESM1b,mRecall level 4,0.9925490289636628,0.8757017388559771
DNN ESM1b,mF1 level 4,0.988266926974957,0.8894111709278085
DSPACE EC,mPrecision,0.9736551781835496,0.873203396875472
DSPACE EC,mRecall,0.9356255048195125,0.6830223473551815
DSPACE EC,mF1,0.951789548671107,0.749744816009938
DSPACE EC,mPrecision level 1,0.9890706602066665,0.9217878807248632
DSPACE EC,mRecall level 1,0.984640284784868,0.8943205666421168
DSPACE EC,mF1 level 1,0.9868167005308176,0.9076112062523924
DSPACE EC,mPrecision level 2,0.9869340341850412,0.9060139376006208
DSPACE EC,mRecall level 2,0.96567405006018,0.7881863817880522
DSPACE EC,mF1 level 2,0.976000722762094,0.8396687065036846
DSPACE EC,mPrecision level 3,0.984696476534023,0.9059236151424962
DSPACE EC,mRecall level 3,0.9489118347587048,0.7278424348184834
DSPACE EC,mF1 level 3,0.9654165845775372,0.7989024801643239
DSPACE EC,mPrecision level 4,0.9721615359748054,0.8689737862836131
DSPACE EC,mRecall level 4,0.933300434681416,0.6749290065725608
DSPACE EC,mF1 level 4,0.949655373365245,0.7418752730489186
DeepEC CNN3,mPrecision,0.8615040916022005,0.7462834011192034
DeepEC CNN3,mRecall,0.8573920245838359,0.6497553415720588
DeepEC CNN3,mF1,0.8488830651054871,0.6762331846278866
DeepEC CNN3,mPrecision level 1,0.9425428881709813,0.8866957046143149
DeepEC CNN3,mRecall level 1,0.9477119116144355,0.8778224175564103
DeepEC CNN3,mF1 level 1,0.9450363980336945,0.8818896806225298
DeepEC CNN3,mPrecision level 2,0.9062143806755923,0.8221503880099853
DeepEC CNN3,mRecall level 2,0.8949965229935766,0.7512082260570551
DeepEC CNN3,mF1 level 2,0.8995487988657661,0.779211589151513
DeepEC CNN3,mPrecision level 3,0.8869810563615633,0.8005249909619208
DeepEC CNN3,mRecall level 3,0.8728923922542361,0.6972680609924318
DeepEC CNN3,mF1 level 3,0.8758008437630092,0.7364539255558501
DeepEC CNN3,mPrecision level 4,0.8574871336334233,0.7384282078840058
DeepEC CNN3,mRecall level 4,0.8545052235455957,0.641478472583894
DeepEC CNN3,mF1 level 4,0.8445015331879986,0.6667827560427367
BLASTp,mF1,,0.9033115623021514
BLASTp,mF1 level 1,,0.9835176156540176
BLASTp,mF1 level 2,,0.9616549041593792
BLASTp,mF1 level 3,,0.9417832914569512
BLASTp,mF1 level 4,,0.8978610021937476
BLASTp,mPrecision,,0.9106097001763654
BLASTp,mPrecision level 1,,0.9866271296265392
BLASTp,mPrecision level 2,,0.96549525605591
BLASTp,mPrecision level 3,,0.9467280681842916
BLASTp,mPrecision level 4,,0.9054874080856298
BLASTp,mRecall,,0.902577454543127
BLASTp,mRecall level 1,,0.9804411577375598
BLASTp,mRecall level 2,,0.9582558368837282
BLASTp,mRecall level 3,,0.9384672744337292
BLASTp,mRecall level 4,,0.897449051752579
Models + BLASTp ensemble,mF1,,0.9090857401638838
Models + BLASTp ensemble,mF1 level 1,,0.9847829943445396
Models + BLASTp ensemble,mF1 level 2,,0.9638361075684267
Models + BLASTp ensemble,mF1 level 3,,0.9437041346970746
Models + BLASTp ensemble,mF1 level 4,,0.9041080984304914
Models + BLASTp ensemble,mPrecision,,0.9204416806398336
Models + BLASTp ensemble,mPrecision level 1,,0.9857465500883148
Models + BLASTp ensemble,mPrecision level 2,,0.9694753313089286
Models + BLASTp ensemble,mPrecision level 3,,0.9530772904477036
Models + BLASTp ensemble,mPrecision level 4,,0.9158385787176764
Models + BLASTp ensemble,mRecall,,0.9049003181814924
Models + BLASTp ensemble,mRecall level 1,,0.9838221109531012
Models + BLASTp ensemble,mRecall level 2,,0.958838940357804
Models + BLASTp ensemble,mRecall level 3,,0.9367325264343072
Models + BLASTp ensemble,mRecall level 4,,0.9001962105231905
Models ensemble,mF1,,0.9011672051082994
Models ensemble,mF1 level 1,,0.9824298528183728
Models ensemble,mF1 level 2,,0.959910337514822
Models ensemble,mF1 level 3,,0.9367085638980756
Models ensemble,mF1 level 4,,0.8959758756187785
Models ensemble,mPrecision,,0.9274756923443452
Models ensemble,mPrecision level 1,,0.9872059167621006
Models ensemble,mPrecision level 2,,0.9753453908463454
Models ensemble,mPrecision level 3,,0.9586089435931636
Models ensemble,mPrecision level 4,,0.9230611817744504
Models ensemble,mRecall,,0.885065468521875
Models ensemble,mRecall level 1,,0.9777060229925436
Models ensemble,mRecall level 2,,0.9459056006204488
Models ensemble,mRecall level 3,,0.9190300014924662
Models ensemble,mRecall level 4,,0.8799302573335052
